question1,question2
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?"
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?"
Should I buy tiago?,What keeps childern active and far from phone and video games?
How can I be a good geologist?,What should I do to be a great geologist?
When do you use  instead of ?,"When do you use ""&"" instead of ""and""?"
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?
How do I read and find my YouTube comments?,How can I see all my Youtube comments?
What can make Physics easy to learn?,How can you make physics easy to learn?
What was your first sexual experience like?,What was your first sexual experience?
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?
What would a Trump presidency mean for current international masters students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?
What does manipulation mean?,What does manipulation means?
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?
Why do rockets look white?,Why are rockets and boosters painted white?
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?
What are the questions should not ask on Quora?,Which question should I ask on Quora?
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?
What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clocks hands overlap?
What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?
What is web application?,What is the web application framework?
Does society place too much importance on sports?,How do sports contribute to the society?
What is best way to make money online?,What is best way to ask for money online?
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?
What's one thing you would like to do better?,What's one thing you do despite knowing better?
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?
What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?
What is the best travel website in spain?,What is the best travel website?
Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?
I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?
"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?
How do we prepare for UPSC?,How do I prepare for civil service?
What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?"
Why do Slavs squat?,Will squats make my legs thicker?
When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?
"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?"
Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?
What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?
What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?
How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?
"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?"
What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?
How do I make friends.,How to make friends ?
Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?
"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?
Nd she is always sad?,Aerodynamically what happens when propellor rotates?
What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?
How GST affects the CAs and tax officers?,Why can't I do my homework?
How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?
Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?
What are some good rap songs to dance to?,What are some of the best rap songs?
I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?
What are the best ways to learn French?,How do I learn french genders?
How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?
Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?
Why do I always get depressed?,Why do I always get depressed in the evening?
Where can I find a European family office database?,Where do I find a U.S. family office database?
What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?
What is the best book ever made?,What is the most important book you have ever read?
Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?
What is your review of Performance Testing?,What is performance testing?
At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?
What are the types of immunity?,What are the different types of immunity in our body?
What is a narcissistic personality disorder?,What is narcissistic personality disorder?
How I can speak English fluently?,How can I learn to speak English fluently?
How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?
Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?
If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?"
How do I prevent breast cancer?,Is breast cancer preventable?
How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?
How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?"
What is purpose of life?,What's the purpose of life? What is life actually about?
When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?"
What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?
